kepler_name,koi_disposition,koi_pdisposition,koi_period,koi_duration,koi_depth
Kepler-1133 b,CONFIRMED,CANDIDATE,11.55562042,1.6758,441.5
Kepler-1134 b,CONFIRMED,CANDIDATE,17.13263125,3.0555,850.2
Kepler-1135 b,CONFIRMED,CANDIDATE,76.957056,9.551,367.1
Kepler-1136 b,CONFIRMED,CANDIDATE,2.361724472,1.2167,587.0
Kepler-1138 b,CONFIRMED,CANDIDATE,3.17059731,1.6686,325.4
Kepler-1139 b,CONFIRMED,CANDIDATE,0.813166357,1.4122,173.5
Kepler-114 b,CONFIRMED,CANDIDATE,5.188563677,2.3683,358.7
Kepler-114 c,CONFIRMED,CANDIDATE,8.041347775,2.6332,591.0
Kepler-114 d,CONFIRMED,CANDIDATE,11.776132317,2.8971,1430.8
Kepler-1140 b,CONFIRMED,CANDIDATE,24.08632177,2.236,1041.7
Kepler-1141 b,CONFIRMED,CANDIDATE,2.344512589,1.4116,58.9
Kepler-1142 b,CONFIRMED,CANDIDATE,18.3027235,8.262,186.7
Kepler-1143 b,CONFIRMED,CANDIDATE,2.888904439,1.6043,402.2
Kepler-1144 b,CONFIRMED,CANDIDATE,17.14648756,4.2354,440.3
Kepler-1145 b,CONFIRMED,CANDIDATE,3.97076603,1.814,349.2
Kepler-1146 b,CONFIRMED,CANDIDATE,2.352273912,1.7389,318.6
Kepler-1147 b,CONFIRMED,CANDIDATE,10.62788695,4.576,326.7
Kepler-1148 b,CONFIRMED,CANDIDATE,1.104462494,1.0458,469.1
Kepler-1149 b,CONFIRMED,CANDIDATE,3.73090026,2.9095,191.2
Kepler-115 b,CONFIRMED,CANDIDATE,2.403640701,1.4012,74.9
Kepler-115 c,CONFIRMED,CANDIDATE,8.99088621,4.2447,469.7
Kepler-1150 b,CONFIRMED,CANDIDATE,2.787874175,2.0348,197.4
Kepler-1151 b,CONFIRMED,CANDIDATE,65.6480892,5.746,588.7
Kepler-1152 b,CONFIRMED,CANDIDATE,1.646801683,1.1966,284.2
Kepler-1153 b,CONFIRMED,CANDIDATE,1.755843555,1.9425,386.0
Kepler-1154 b,CONFIRMED,CANDIDATE,5.18560081,4.054,252.6
Kepler-1154 c,CONFIRMED,CANDIDATE,8.45805119,2.998,258.7
Kepler-1155 b,CONFIRMED,CANDIDATE,33.4698571,4.749,370.7
Kepler-1156 b,CONFIRMED,CANDIDATE,11.89520436,3.433,184.3
Kepler-1157 b,CONFIRMED,CANDIDATE,4.45743267,2.3226,175.7
Kepler-1158 b,CONFIRMED,CANDIDATE,13.53953595,4.389,134.2
Kepler-1159 b,CONFIRMED,CANDIDATE,22.7082375,3.503,298.8
Kepler-116 b,CONFIRMED,CANDIDATE,5.968724048,3.651,510.6
Kepler-116 c,CONFIRMED,CANDIDATE,13.07141889,3.0946,251.1
Kepler-1160 b,CONFIRMED,CANDIDATE,7.97033985,2.6675,490.8
Kepler-1161 b,CONFIRMED,CANDIDATE,10.71253475,2.7186,1198.6
Kepler-1162 b,CONFIRMED,CANDIDATE,32.5635249,5.418,578.3
Kepler-1162 c,CONFIRMED,CANDIDATE,59.284064,5.42,424.4
Kepler-1163 b,CONFIRMED,CANDIDATE,6.11784972,3.458,60.5
Kepler-1164 b,CONFIRMED,CANDIDATE,3.97599629,2.2029,206.0
Kepler-1165 b,CONFIRMED,CANDIDATE,9.47850818,6.154,184.6
Kepler-1165 c,CONFIRMED,CANDIDATE,29.9685917,6.678,309.5
Kepler-1166 b,CONFIRMED,CANDIDATE,33.2407985,4.675,341.9
Kepler-1167 b,CONFIRMED,CANDIDATE,1.003931703,1.4361,491.1
Kepler-1168 b,CONFIRMED,CANDIDATE,55.8224775,5.457,879.6
Kepler-1169 b,CONFIRMED,CANDIDATE,6.11010439,2.314,59.7
Kepler-117 b,CONFIRMED,CANDIDATE,18.79591276,7.5235,2431.4
Kepler-117 c,CONFIRMED,CANDIDATE,50.79034648,10.8474,5671.1
Kepler-1170 b,CONFIRMED,CANDIDATE,9.98970266,3.7,988.4
Kepler-1171 b,CONFIRMED,CANDIDATE,1.442592305,2.9698,166.0
Kepler-1172 b,CONFIRMED,CANDIDATE,26.0203329,4.965,1164.4
Kepler-1173 b,CONFIRMED,CANDIDATE,0.769854899,1.0243,109.6
Kepler-1174 b,CONFIRMED,CANDIDATE,6.89226333,2.4921,214.4
Kepler-1175 b,CONFIRMED,CANDIDATE,37.9456138,4.093,1032.9
Kepler-1176 b,CONFIRMED,CANDIDATE,24.1738244,3.056,532.6
Kepler-1177 b,CONFIRMED,CANDIDATE,106.247882,13.78,397.4
Kepler-1178 b,CONFIRMED,CANDIDATE,31.8055128,3.979,141.7
Kepler-1179 b,CONFIRMED,CANDIDATE,2.685054445,1.0473,252.7
Kepler-118 b,CONFIRMED,CANDIDATE,7.51854537,2.845,286.7
Kepler-118 c,CONFIRMED,CANDIDATE,20.172024672,3.1488,5368.1
Kepler-1180 b,CONFIRMED,CANDIDATE,16.8600805,5.557,273.4
Kepler-1181 b,CONFIRMED,CANDIDATE,4.89336495,3.485,138.3
Kepler-1181 c,CONFIRMED,CANDIDATE,8.93484887,2.579,135.9
Kepler-1182 b,CONFIRMED,CANDIDATE,11.17392077,3.307,324.8
Kepler-1183 b,CONFIRMED,CANDIDATE,28.5057217,6.324,755.8
Kepler-1184 b,CONFIRMED,CANDIDATE,53.5991459,6.811,523.1
Kepler-1186 b,CONFIRMED,CANDIDATE,16.07673148,2.205,488.0
Kepler-1187 b,CONFIRMED,CANDIDATE,18.87058705,3.4701,588.0
Kepler-1188 b,CONFIRMED,CANDIDATE,17.1369408,6.416,362.1
Kepler-1189 b,CONFIRMED,CANDIDATE,3.78861833,2.808,143.4
Kepler-119 b,CONFIRMED,CANDIDATE,2.422084188,2.5613,1871.8
Kepler-119 c,CONFIRMED,CANDIDATE,4.12511935,2.877,114.7
Kepler-1190 b,CONFIRMED,CANDIDATE,10.45839865,3.154,306.8
Kepler-1191 b,CONFIRMED,CANDIDATE,5.60013327,2.6508,329.2
Kepler-1192 b,CONFIRMED,CANDIDATE,25.2034128,4.515,697.1
Kepler-1193 b,CONFIRMED,CANDIDATE,2.832647249,2.306,114.7
Kepler-1194 b,CONFIRMED,CANDIDATE,16.22378479,2.5462,262.3
Kepler-1195 b,CONFIRMED,CANDIDATE,8.49640437,2.2128,834.0
Kepler-1196 b,CONFIRMED,CANDIDATE,66.1843646,5.155,560.5
Kepler-1197 b,CONFIRMED,CANDIDATE,2.032318856,1.1596,287.5
Kepler-1198 b,CONFIRMED,CANDIDATE,7.68478504,2.447,274.1
Kepler-1199 b,CONFIRMED,CANDIDATE,15.0447098,5.823,97.9
Kepler-12 b,CONFIRMED,CANDIDATE,4.437962934,4.69813,16388.0
Kepler-120 b,CONFIRMED,CANDIDATE,6.312508525,2.7455,1286.0
Kepler-120 c,CONFIRMED,CANDIDATE,12.7945474,3.4197,816.7
Kepler-1200 b,CONFIRMED,CANDIDATE,1.118547814,1.5534,234.8
Kepler-1201 b,CONFIRMED,CANDIDATE,15.18727049,4.509,292.5
Kepler-1202 b,CONFIRMED,CANDIDATE,28.6853212,6.307,689.1
Kepler-1203 b,CONFIRMED,CANDIDATE,0.588001053,1.1451,297.4
Kepler-1204 b,CONFIRMED,CANDIDATE,85.7357202,7.625,747.7
Kepler-1205 b,CONFIRMED,CANDIDATE,1.078389713,1.3394,300.5
Kepler-1206 b,CONFIRMED,CANDIDATE,1.217000383,1.3285,459.8
Kepler-1207 b,CONFIRMED,CANDIDATE,13.6823798,4.153,179.6
Kepler-1208 b,CONFIRMED,CANDIDATE,11.08507658,1.751,771.8
Kepler-1209 b,CONFIRMED,CANDIDATE,25.3690868,4.746,110.1
Kepler-121 b,CONFIRMED,CANDIDATE,3.177414601,1.5262,1134.3
Kepler-121 c,CONFIRMED,CANDIDATE,41.0081117,4.376,1004.5
Kepler-1210 b,CONFIRMED,CANDIDATE,8.07127043,2.393,318.2
Kepler-1211 b,CONFIRMED,CANDIDATE,11.01819178,4.635,545.7
Kepler-1212 b,CONFIRMED,CANDIDATE,12.94123564,4.636,328.8
Kepler-1213 b,CONFIRMED,CANDIDATE,5.349791,4.279,88.8
Kepler-1214 b,CONFIRMED,CANDIDATE,18.8262877,2.344,795.8
Kepler-1215 b,CONFIRMED,CANDIDATE,4.76702759,2.013,163.4
Kepler-1216 b,CONFIRMED,CANDIDATE,4.37033233,2.845,177.8
Kepler-1217 b,CONFIRMED,CANDIDATE,2.032319072,1.6762,315.5
Kepler-1218 b,CONFIRMED,CANDIDATE,22.9221181,8.2,140.3
Kepler-1219 b,CONFIRMED,CANDIDATE,16.10474503,5.712,124.1
Kepler-122 b,CONFIRMED,CANDIDATE,5.766165573,3.8314,364.8
Kepler-122 c,CONFIRMED,CANDIDATE,12.466004437,5.0066,2232.1
Kepler-122 d,CONFIRMED,CANDIDATE,21.58752788,4.4968,336.8
Kepler-122 e,CONFIRMED,CANDIDATE,37.9962369,6.7751,403.7
Kepler-122 f,CONFIRMED,CANDIDATE,56.2590881,8.114,348.8
Kepler-1220 b,CONFIRMED,CANDIDATE,7.42697378,3.206,205.2
Kepler-1221 b,CONFIRMED,CANDIDATE,12.00089667,3.266,420.7
Kepler-1222 b,CONFIRMED,CANDIDATE,1.916940872,1.4243,105.1
Kepler-1223 b,CONFIRMED,CANDIDATE,16.3012727,3.974,259.5
Kepler-1224 b,CONFIRMED,CANDIDATE,13.32354078,3.873,116.6
Kepler-1225 b,CONFIRMED,CANDIDATE,7.01074295,2.1787,222.8
Kepler-1226 b,CONFIRMED,CANDIDATE,17.2922631,7.042,203.1
Kepler-1227 b,CONFIRMED,CANDIDATE,94.289223,4.102,505.4
Kepler-1228 b,CONFIRMED,CANDIDATE,0.577369336,1.0852,400.4
Kepler-1229 b,CONFIRMED,CANDIDATE,86.829519,7.464,751.0
Kepler-123 b,CONFIRMED,CANDIDATE,17.23232894,4.5568,509.8
Kepler-123 c,CONFIRMED,CANDIDATE,26.6951944,4.576,132.6
Kepler-1230 b,CONFIRMED,CANDIDATE,9.95667035,3.534,586.8
Kepler-1231 b,CONFIRMED,CANDIDATE,10.41728722,4.125,210.4
Kepler-1232 b,CONFIRMED,CANDIDATE,26.7838935,4.584,365.3
Kepler-1233 b,CONFIRMED,CANDIDATE,45.126216,6.656,373.1
Kepler-1234 b,CONFIRMED,CANDIDATE,11.94019101,2.866,631.7
